lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Sun,  Lianxin, 146, 32.38, , , CHN, China, , , , , , , , , , 
Langland,  Hailey, 147, 31.59, Burton Snowboards | Rockstar | US Snowboarding | , 20, USA, United States, Regular, , , , , , , , , 
Liberg Frisvold,  Nora, 148, 30.75, , , NOR, Norway, , , , , , , , , , 
Maheux,  Emeraude, 148, 30.75, , , CAN, Canada, , , , , , , , , , 
Larkiala,  Stella, 150, 30.25, , , FIN, Finland, , , , , , , , , , 
Jaakkola,  Milja, 151, 30.16, , , FIN, Finland, , , , , , , , , , 
Hjalland,  Tina, 152, 28.89, , , NOR, Norway, , , , , , , , , , 
Johansen,  Hege, 153, 28.66, , , NOR, Norway, , , , , , , , , , 
Benneker,  Olivia, 154, 28.65, , , SUI, Switzerland, , , , , , , , , , 
Kashevnik,  Nika, 155, 28.14, , , RUS, Russian Federation, , , , , , , , , , 
Morii,  Kiara, 156, 27.65, , , JPN, Japan, , , , , , , , , , 
Ren,  Zizheng, 157, 27.06, , , CHN, China, , , , , , , , , , 
Hlynsdottir,  Unnur Solveig, 158, 26.98, , , ISL, Iceland, , , , , , , , , , 
Seijas Fidalgo,  Andrea, 158, 26.98, , , ESP, Spain, , , , , , , , , , 
Gale,  Madison, 160, 26.71, , 18, CAN, Canada, Regular, , , , , , , , , 
Lane Hopkins,  Luca Mai, 161, 25.42, CARDIFF SKI & SNOWBOARD CENTER | , 17, GBR, United Kingdom, Regular, , , , , , , , , 
Uzicanin,  Alaia, 162, 24.86, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Zung,  Kiara, 163, 24.57, , , AUT, Austria, , , , , , , , , , 
Raisanen,  Ida, 164, 24.08, , , FIN, Finland, , , , , , , , , , 
Milenkovic,  Neda, 165, 23.73, , , SRB, Serbia, , , , , , , , , , 
Proydina,  Juliya, 166, 23.34, , , RUS, Russian Federation, , , , , , , , , , 
Johnsen,  Pia, 167, 22.58, , , NOR, Norway, , , , , , , , , , 
Healey,  Nora, 168, 22.44, POC | , 22, USA, United States, Regular, 5ft.8in., Plymouth, Waterville Valley, , , , , , 
Edamatsu,  Chihiro, 169, 22.36, , , JPN, Japan, , , , , , , , , , 
Gomez,  Isabella, 170, 22.28, , , USA, United States, , , , , , , , , , 
Osther,  Cornelia, 171, 21.64, , , , Norway, , , , , , , , , , 
Birkkjaer,  Bailey, 172, 21.38, , 23, CAN, Canada, , , , , , , , , , 
Ikola,  Henna, 173, 21.33, Burton Snowboards | , 22, FIN, Finland, Goofy, 150cm, Hyvinkää, Sveitsin hiihtokeskus| Hyvinkää| Finland, , , , , , 
Steinsdottir,  Lilja Ros, 174, 21.01, , , ISL, Iceland, , , , , , , , , , 
Salinas Sanchis,  Sofia, 174, 21.01, , , AND, Andorra, , , , , , , , , , 
Immonen,  Veera, 176, 20.76, , , FIN, Finland, , , , , , , , , , 
Nymoen,  Ingvild, 177, 20.05, , , NOR, Norway, , , , , , , , , , 
Simanaviciute,  Goda, 177, 20.05, , , LTU, Lithuania, , , , , , , , , , 
Harinen,  Ada, 179, 19.98, , , FIN, Finland, , , , , , , , , , 
Hardt,  Sarah, 180, 19.04, , , GER, Germany, , , , , , , , , , 
Bertetic,  Aurora, 181, 18.53, , , CRO, CRO, , , , , , , , , , 
Kimura,  Ryo, 182, 17.41, , , JPN, Japan, , , , , , , , , , 
Kvaale,  Mette, 183, 16.58, , , NOR, Norway, , , , , , , , , , 
Jones,  Paige, 184, 16.0, , , AUS, Australia, , , , , , , , , , 
Vojvodic,  Marta, 185, 15.97, , , SRB, Serbia, , , , , , , , , , 
Van Vreden,  Romy, 186, 15.71, , , NED, NED, , , , , , , , , , 
Gennero,  Emma, 187, 15.66, , , ITA, Italy, , , , , , , , , , 
Steinthorsdottir,  Bergdis, 188, 15.38, , , ISL, Iceland, , , , , , , , , , 
Gorshenina,  Anastasiya, 189, 15.32, , , RUS, Russian Federation, , , , , , , , , , 
Zhang,  Tong, 190, 13.87, , , CHN, China, , , , , , , , , , 
Yoshizawa,  Hikari, 191, 12.73, , 17, JPN, Japan, , , Fujisawa City Kanagawa Pref., , , , , , , 
Smith,  Hollie, 192, 12.53, , , GBR, United Kingdom, , , , , , , , , , 
Olejniczak,  Emma, 193, 12.43, , , FRA, France, , , , , , , , , , 
Haensel,  Ronja, 193, 12.43, , , AUT, Austria, , , , , , , , , , 
Herland,  June, 195, 12.39, , , NOR, Norway, , , , , , , , , , 
Avelar,  Rori, 195, 12.39, , , USA, United States, , , , , , , , , , 
Becirevic,  Tea, 197, 12.19, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Guo,  Junyan, 198, 12.06, , , CHN, China, , , , , , , , , , 
Dahle Stavanes,  Eira, 199, 12.05, , , NOR, Norway, , , , , , , , , , 
Teksle,  Guro, 200, 10.84, , , NOR, Norway, , , , , , , , , , 
Smirnova,  Maria, 201, 10.75, , , RUS, Russian Federation, , , , , , , , , , 
Dadadottir,  Alis Helga, 202, 10.02, , , ISL, Iceland, , , , , , , , , , 
Naudi,  Aixa, 202, 10.02, , , AND, Andorra, , , , , , , , , , 
Engholm,  Novalie, 204, 9.93, , , SWE, Sweden, , , , , , , , , , 
MacIejewska,  Martyna, 205, 9.42, , , POL, Poland, , , , , , , , , , 
Kaikuranta,  Jasmin, 206, 9.21, , , FIN, Finland, , , , , , , , , , 
Krasneva,  Varvara, 207, 8.3, , 23, CAN, Canada, , , , , , , , , , 
Bashoska,  Eva, 207, 8.3, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
Kotani,  Yui, 207, 8.3, , , JPN, Japan, , , , , , , , , , 
Derminio,  Lauren, 210, 8.09, , , USA, United States, , , , , , , , , , 
Murawskaia,  Darina, 211, 7.0, , , BLR, Belarus, , , , , , , , , , 
Zhai,  Yue, 212, 6.9, , , CHN, China, , , , , , , , , , 
Magrufova,  Kamila, 213, 6.86, , , RUS, Russian Federation, , , , , , , , , , 
Edwinsdottir,  Vildis, 214, 6.71, , , ISL, Iceland, , , , , , , , , , 
Picchedda,  Stella, 215, 6.1, , , FRA, France, , , , , , , , , , 
Napess,  Lounah, 215, 6.1, , , CAN, Canada, , , , , , , , , , 
Grempel,  Mia, 215, 6.1, , , GER, Germany, , , , , , , , , , 
Kittilae,  Emmi, 218, 6.0, , , FIN, Finland, , , , , , , , , , 
Fernandez,  Nerea, 219, 4.91, , , AND, Andorra, , , , , , , , , , 
Tomasdottir,  Julietta Idunn, 219, 4.91, , , ISL, Iceland, , , , , , , , , , 
Stankovikj,  Ema, 221, 4.06, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
Walker,  Jenna, 221, 4.06, , , CAN, Canada, , , , , , , , , , 
Maeda,  Suzuha, 221, 4.06, , , JPN, Japan, , , , , , , , , , 
Topp Oye,  Nora Synnove, 224, 3.97, , , NOR, Norway, , , , , , , , , , 
Kokko,  Anna-Sofia, 225, 2.94, , , FIN, Finland, , , , , , , , , , 
