lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Kautonen,  Valtteri, 231, 32.73, , , FIN, Finland, , , , , , , , , , 
Burns,  Henry, 232, 32.23, , , CAN, Canada, , , , , , , , , , 
Girardon,  Ethan, 233, 31.94, , , SUI, Switzerland, , , , , , , , , , 
Hamilton,  Mason, 234, 31.49, , , CAN, Canada, , , , , , , , , , 
Frischhut,  Paul, 235, 31.2, , , AUT, Austria, , , , , , , , , , 
Hamada,  Tamon, 236, 31.17, , , JPN, Japan, , , , , , , , , , 
Otsubo,  Shojiro, 237, 30.66, , , JPN, Japan, , , , , , , , , , 
Griesheimer,  Noah, 238, 29.93, , , USA, United States, , , , , , , , , , 
Ohashi,  Kosuke, 239, 29.77, , , JPN, Japan, , , , , , , , , , 
JOERGENSEN,  Len Roald, 240, 29.57, Forum | Pow Gloves | Special Blend | Spy | TSG | , 28, NOR, Norway, Regular, 181 cm, Hosle, Kirkerud represent!, www.demonscrew.com/, , , , , 
Knellwolf,  Andrin, 241, 28.92, , , SUI, Switzerland, , , , , , , , , , 
Ostapovich,  Kale, 242, 28.45, , , CAN, Canada, , , , , , , , , , 
Nunez,  Jascha, 243, 28.28, , , AUT, Austria, , , , , , , , , , 
Van Meel,  Guido, 244, 28.14, , 47, SUI, Switzerland, Goofy, , Saanen, , , , , , , 
Smith,  Charlie, 245, 28.13, , , USA, United States, , , , , , , , , , 
Brennan,  Eryll, 246, 27.55, , , USA, United States, , , , , , , , , , 
Marchesi,  Luis, 247, 27.15, , , SUI, Switzerland, , , , , , , , , , 
Yanagisawa,  Riku, 248, 26.88, , , JPN, Japan, , , , , , , , , , 
Kaemingh,  Carter, 249, 26.54, , , CAN, Canada, , , , , , , , , , 
Kirkevoll,  Embrik, 250, 26.38, , , NOR, Norway, , , , , , , , , , 
Steffensen,  Lasse, 251, 26.34, , , NOR, Norway, , , , , , , , , , 
Aoki,  Makoto, 252, 26.22, , , JPN, Japan, , , , , , , , , , 
Gron,  Petter, 253, 26.2, , 24, NOR, Norway, Regular, , Skui, , , , , , , 
Ishizaki,  Masaki, 254, 26.2, , , JPN, Japan, , , , , , , , , , 
Chen,  Vinson, 255, 26.02, , , AUS, Australia, , , , , , , , , , 
Lotz,  Peter, 256, 25.45, , , GER, Germany, , , , , , , , , , 
Rizzi,  Giovanni, 257, 25.45, , , SUI, Switzerland, , , , , , , , , , 
Wachter,  Tieg, 258, 25.43, , 15, USA, United States, , , , , , , , , , 
Ewert,  Lucas, 259, 23.96, , , CAN, Canada, , , , , , , , , , 
Smith,  Ethan, 259, 23.96, Never Summer | , 17, GBR, United Kingdom, Goofy, 165cm, Southampton, The Snow Centre at Hemel Hempstead & Kaltenbach AUT, www.Ethan-Smith.com, www.facebook.com/ethansmith0, www.twitter.com/@ethansmith0, , , 
Kirkhus,  Oyvind, 261, 23.43, , , NOR, Norway, , , , , , , , , , 
Lehner,  Elias, 262, 23.43, , , SUI, Switzerland, , , , , , , , , , 
Jossen,  Tim, 263, 23.34, , , SUI, Switzerland, , , , , , , , , , 
Martin,  Ollie, 264, 23.2, , , USA, United States, , , , , , , , , , 
Gjerdalen,  Bendik, 265, 23.17, Dragon | Union Bindings | , 22, NOR, Norway, Regular, , Hønefoss, , , , , , , 
Harrison,  Tyler, 266, 23.15, , , CAN, Canada, , , , , , , , , , 
Murakami,  Siou, 267, 22.88, , , JPN, Japan, , , , , , , , , , 
Yamazaki,  Hinata, 268, 22.82, , , JPN, Japan, , , , , , , , , , 
Hanada,  Ryoya, 269, 22.77, , , JPN, Japan, , , , , , , , , , 
Kamissek,  Luka, 270, 22.71, , , GER, Germany, , , , , , , , , , 
Borders,  Chase, 271, 22.68, , , USA, United States, , , , , , , , , , 
Cattaneo,  Gioele, 272, 22.57, , , SUI, Switzerland, , , , , , , , , , 
